PuzzleId,FEN,Moves,Rating,Themes
08xJx,8/8/6p1/7p/3K3P/6P1/4k3/8 w - - 2 66,d4e5 e2f3 e5f6 f3g3,1146,pawnEndgame
0ChLC,8/p2r1pk1/4bq2/2p1N2p/4Q1p1/2P5/PP3PP1/4R1K1 b - - 1 31,e6d5 e5d7 d5e4 d7f6,1146,hangingPiece
0aqk3,8/5kp1/p1qp1n1p/4pQ2/4P3/P1B2PP1/1PP3K1/8 w - - 3 41,g3g4 g7g6 f5f6 f7f6,1146,trappedPiece
0lREA,1r2kb1r/Qpqb1ppp/4pn2/8/8/6P1/PP2PPBP/RNB2RK1 w k - 1 12,b1c3 f8c5 a7b8 c7b8,1146,trappedPiece
03HHe,r2qr1k1/pb1nbp2/1pp1pn1Q/6N1/3P3P/2NB4/PPP2PP1/1K1RR3 b - - 2 15,e7f8 d3h7 f6h7 h6h7,1147,kingsideAttack
04cmW,6k1/5p1p/ppB3p1/2p1bb1n/2Pp4/3P2P1/P1N2P1P/R5K1 w - - 0 31,c6e4 f5e4 d3e4 d4d3 a1b1 d3c2,1147,advancedPawn
0FJ9d,5rk1/2p3pp/p7/5P2/3P4/2P2Q1P/PP3K1q/R1B5 w - - 3 27,f3g2 f8f5 c1f4 f5f4 f2e3 h2g2,1148,exposedKing
00Gvr,8/1b3pp1/1k4Pp/4K2P/4PP2/8/8/8 b - - 0 46,f7f6 e5e6 b7e4 e6f7,1149,defensiveMove
02UFP,r1b3k1/pp3rpp/8/2ppp1B1/3n3P/P1qB2Q1/2P2PP1/1R1K3R b - - 1 18,c5c4 d3h7 g8h7 g3c3,1149,discoveredAttack
03Anu,1r3rk1/pPp2pp1/1b3q2/4p1N1/8/6P1/PP1B1P1P/R2Q1BK1 w - - 1 18,d1c2 f6f2 g1h1 f2g1,1149,kingsideAttack
05EX9,8/8/8/pK6/P3k3/8/8/8 b - - 9 44,e4e5 b5a5 e5d6 a5b6,1149,defensiveMove pawnEndgame
07CoK,5k1r/1p1n1pp1/p2q1n1p/2pp4/P2P4/5N2/1PPB1PPP/R3Q1K1 b - - 0 18,c5c4 d2b4 d6b4 e1b4,1149,pin
0AIOd,2r3k1/2p3pp/1q1p4/8/2b2Q2/7P/1P3RP1/7K b - - 3 39,d6d5 f4f7 g8h8 f7f8 c8f8 f2f8,1149,backRankMate
00O3h,5k2/R3Rp2/6p1/1p5p/1P5K/2nr4/7P/8 b - - 7 43,d3d4 h4g5 c3e4 g5h6,1150,defensiveMove
041KE,r4r1k/2q3pp/p1p5/1p2b3/3NP2n/PQ3p1P/1P3PP1/2BR1RK1 w - - 0 23,d4e6 e5h2 g1h1 f3g2,1150,advancedPawn
05HkP,8/p7/1p6/3K4/8/P1P5/1P1k4/8 w - - 6 46,b2b4 d2c3 d5c6 c3b3 b4b5 b3a3,1150,pawnEndgame
06ilc,r7/6p1/P6p/1k2pp2/8/3K1P1P/6P1/R7 b - - 2 52,a8a6 a1a6 b5a6 d3c4,1150,defensiveMove rookEndgame
06yZ3,5k2/1r3p2/6p1/q4p2/P1BQ4/1P5R/1KP5/8 w - - 4 45,d4d8 a5d8 h3h8 f8e7 h8d8 e7d8,1150,hangingPiece
00zNz,r1bqk2r/pp1np1bp/2p3p1/3pNB2/3P1B2/4P3/PPP2PPP/R2QK2R b KQkq - 0 10,g6f5 d1h5 e8f8 h5f7,1151,mateIn2
01p5M,1r6/p1p2n2/1pk2Pp1/6r1/8/2N5/PPP4K/3R1R2 w - - 2 24,f1g1 b8h8,1151,mateIn1
028b4,r1b2rk1/p4pp1/1bp1p2p/4N3/1PPq4/P2B3P/5PP1/R2QK2R w KQ - 1 18,e5c6 d4f2,1151,mateIn1
05428,2r2rk1/p4ppp/2n1p3/1pPpP1q1/1P5n/2B2B2/P4PPP/2RQR1K1 w - - 3 20,c3d2 h4f3 d1f3 g5d2,1151,pin
0048h,4r3/p5k1/2p2R1p/2Pp4/1P1pr1P1/P6P/8/3R3K w - - 1 35,f6c6 e4e1 d1e1 e8e1 h1g2 d4d3,1152,exposedKing rookEndgame
00GuD,1n5k/4r1p1/p2q1rPp/1ppB4/8/3P4/PPP1RPQ1/2K4R b - - 4 25,e7e2 h1h6 g7h6 g6g7 h8h7 g7g8q,1152,advancedPawn kingsideAttack promotion
00fwM,Qn1qk2r/p4ppp/2p5/2bn4/4pPb1/2N5/PPPP2PP/R1B1KBNR w KQk - 1 9,h2h3 d8h4 g2g3 h4g3,1152,mateIn2
044zv,rnb1r1k1/pp2npp1/7p/q1b3Q1/2B5/2N5/PPP1NPPP/R1B1K2R w KQ - 0 12,g5h5 c5f2 e1f2 a5h5,1153,discoveredAttack
04jF9,8/p3r3/3kp1Q1/3PN3/8/4q3/1P1R2P1/7K b - - 0 43,e3d2 e5c4 d6d5 c4d2,1153,pin
00SsI,6R1/p4p1p/2p1pp1k/8/2N5/4b1R1/4K1PP/2q5 b - - 1 29,e3g5 g3h3 g5h4 h3h4,1154,mateIn2
04n54,r2q3r/bp2kp2/p3p3/1P1pn3/8/3Q1NP1/P5PP/2R2R1K w - - 0 24,f3e5 h8h2 h1h2 d8h8 d3h7 h8h7,1154,attraction
0ECTq,6k1/6b1/3pQ2p/2pP4/2n5/2P3BP/1P4PK/3q4 b - - 2 34,g8h8 e6e8 h8h7 e8e4 h7g8 e4c4,1154,exposedKing
01VBW,2b1rr1k/3q2pB/p1p2b2/PpPp4/1P1P1Np1/8/2Q2P1P/R4RK1 b - - 2 21,f6d4 f4g6 h8h7 g6f8 h7g8 f8d7,1155,fork
003eP,8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1156,exposedKing skewer
00GY4,3k2r1/pR5R/3r4/4p1q1/7Q/3Pn1PP/PP5K/8 b - - 0 27,g5h4 b7b8,1156,mateIn1
01nyk,8/1k6/1P2p1p1/2KpP3/7P/8/8/8 w - - 1 48,c5d6 d5d4 d6e6 d4d3,1156,pawnEndgame
0997O,8/1p6/1k6/1N5R/2P5/8/p4KPP/r7 w - - 0 36,b5c3 a1f1 f2f1 a2a1q,1156,attraction promotion
01V4g,3r1rk1/p2nppbp/2p2np1/qpPp4/N2P1B2/PP1BP2P/5PP1/R2Q1RK1 b - - 0 15,b5a4 b3b4 a5b5 d3b5,1157,trappedPiece
01Xzx,3r2k1/1Rp1qpp1/7p/8/5Q2/1PP5/5PPP/3r1RK1 w - - 5 26,b7c7 d1f1 g1f1 d8d1,1157,attraction mateIn2
033rG,5r1k/1p3qbp/6p1/2P5/1P1Q4/8/6PP/3R1NK1 w - - 1 29,d4d6 f7f2 g1h1 f2f1 d1f1 f8f1,1157,backRankMate deflection
071op,8/8/p1p5/1p2kp1p/1P5P/P1P2KP1/8/8 b - - 0 44,e5f6 f3f4 f6e6 f4g5,1157,pawnEndgame
0DuQM,k1n5/1p3rp1/p5p1/P2P2Pp/2P5/3pBq1P/1Q1K1P2/1R6 w - - 0 40,b2d4 f3e2 d2c3 e2c2 c3b4 c2b1,1157,exposedKing
01M89,8/2p5/1p2B3/p7/5r2/P4pN1/1PP4k/1K4R1 w - - 1 59,g3e2 f3e2 g1e1 f4f1 b1c1 f1e1,1158,advancedPawn hangingPiece pin
05nFU,2k3rr/1pq2p2/p1pbpQ2/P4p1p/2P5/8/1PP2PP1/3RR2K b - - 3 26,g8g6 f6h8 c7d8 h8d8,1158,hangingPiece
07e4t,1r1qkbnr/1b1p1ppp/p3p3/4P3/2p5/2NPB1Q1/PPP2PPP/R3K2R b KQk - 1 12,f8b4 g3g7 b4f8 g7h8,1158,trappedPiece
006HV,1r6/5k2/2p1pNp1/p5Pp/1pQ1P2P/2P4R/KP3P2/3q4 w - - 4 31,c4c6 b4b3 a2a3 d1a1,1159,mateIn2
00OCQ,1rr3k1/5p1p/p5pQ/4p3/4q3/B3P3/PPPR1PPP/2KR4 w - - 6 27,c2c3 c8c3 b2c3 b8b1,1160,mateIn2
01485,r2qr3/p2n1kp1/b1pb1n1p/8/1p1P1N2/1Q3N1P/PP3PP1/R1B1R1K1 b - - 1 16,f7f8 f4g6,1160,mateIn1
01IvQ,8/2rN1pk1/2P4p/pB6/1b4RP/5K2/8/4r3 b - - 4 44,g7h7 d7f6 h7h8 g4g8,1160,mateIn2
09gK3,3r1rk1/p1Qn1ppp/1p1R4/8/8/Pq2P3/5PPP/3R2K1 w - - 2 22,d6d7 b3d1 d7d1 d8d1,1160,backRankMate
01eLb,8/5k1R/5p2/2K2Npp/4P3/5P2/8/3r2n1 b - - 3 57,f7e6 h7e7,1161,mateIn1
009IO,3rk3/5p1r/p2Np1p1/3bP3/P2n4/8/1P3RPP/5RK1 b - - 4 25,e8e7 f2f7 h7f7 f1f7,1162,mateIn2
00LPw,1rb4r/pp1nb1pp/5nk1/3Np3/2q1P3/2N2Q2/PPP2PPP/R1B1K2R b KQ - 4 12,f6d5 f3f5,1162,mateIn1
00PZo,7r/8/3b4/3p4/5PR1/2kN4/4KP2/8 w - - 1 67,f4f5 h8e8 e2f3 c3d3,1162,deflection
019tx,4Qb1r/pp2R1k1/2pq1p2/8/3p4/1BP4P/PP1B2P1/6K1 b - - 0 32,f8e7 e8f7,1162,mateIn1
01kzW,3q2k1/5p1p/p1b2PP1/4p1P1/2PbN1Q1/3Bp1K1/P7/8 b - - 0 40,f7g6 g4e6 g8f8 e6c6,1162,fork
09a7a,r2q1rk1/pp2ppb1/3pb1pB/8/2B1P3/2N5/PP1Q2PP/R4RK1 b - - 0 16,e6c4 h6g7 g8g7 d2d4 e7e5 d4c4,1162,attraction
0184P,1r6/3R2p1/p5kp/1p2p2N/2Pn2K1/1P6/P5PP/8 b - - 2 30,b5c4 d7g7,1163,mateIn1
01QId,8/Q4pk1/1Pq3p1/8/4RKP1/4RP1P/P7/6r1 w - - 9 43,a7c7 c6f6,1163,mateIn1
038TX,3r2k1/5ppp/brn1p3/2Q5/8/Rp1q1NB1/3N1PPP/1R4K1 w - - 1 25,c5b6 d3b1 d2b1 d8d1 f3e1 d1e1,1163,backRankMate
04Xuc,5k2/2p2p2/1p6/1P3pQ1/3Np1n1/2P1P1P1/3q1PK1/8 w - - 15 37,g5f5 g4e3 g2h3 e3f5,1163,pin
0AfvF,4r2k/1QR4p/3p4/p6r/1pB1P3/5P2/5qPP/4R2K w - - 3 32,e1g1 h5h2 h1h2 f2h4,1163,attraction
02MwE,4rnk1/pb2r1pp/1p1q1p2/5P2/2BppN2/7R/PP1Q2PP/4R1K1 b - - 1 24,g8h8 f4g6 f8g6 f5g6,1164,kingsideAttack pin
05CUt,R1b2rk1/6pp/4p1p1/3pP3/1Q6/1p3N2/2q2PPP/4R1K1 w - - 1 21,f3d4 c2f2 g1h1 f2f1 e1f1 f8f1,1164,backRankMate
009oc,5Q2/pbp3np/1p1pB1pk/1P6/P3q2P/6K1/8/8 b - - 1 32,e4e6 f8f4 g6g5 f4g5,1165,mateIn2
00xgi,rnbq1rk1/pp4pp/4p3/3pNp1Q/2pPn3/2PBP1P1/PP1N1PP1/R3K2R b KQ - 1 11,d8e8 h5h7,1165,kingsideAttack mateIn1
017AB,8/5k2/7p/1R4p1/4P1K1/5P1P/1pr5/8 w - - 2 51,g4f5 c2c5 b5c5 b2b1q,1165,advancedPawn deflection promotion rookEndgame
01gyY,8/R1b3r1/8/1pPk4/1P2p3/P3B3/8/5K2 w - - 4 42,f1e1 c7g3 e1f1 g7a7,1165,discoveredAttack
05t5o,8/8/8/p1R5/6P1/1P3k2/r6P/6K1 w - - 1 39,g4g5 a2a1 c5c1 a1c1,1165,rookEndgame
008tL,8/7k/pR5p/3p4/5r2/2P1p2P/P5P1/6K1 w - - 0 40,b6a6 e3e2 a6e6 f4f1,1167,advancedPawn rookEndgame
02AeY,8/4k3/4p3/p2pP3/2pPb3/2K1P1RB/PP2r3/4N3 w - - 3 54,g3g1 e2e3 c3d2 e3h3,1167,fork
05KXt,4r1k1/5p2/6pp/1p6/pqB3P1/5P2/1P4P1/2Q1RK2 b - - 0 44,b4c4 c1c4 e8e1 f1e1 b5c4 e1d2,1167,defensiveMove
0AjV2,4k3/1p6/p3p3/1P1pN3/3P1nP1/5P2/3r4/1R3K2 b - - 0 34,d2d4 b5a6 b7a6 b1b8 e8e7 e5c6,1167,exposedKing
004Lu,8/p1p4p/4Pk2/2PP1p1P/1r3r2/5B2/P3RK2/8 b - - 3 38,f6e7 d5d6 c7d6 c5d6 e7d6 e6e7,1168,advancedPawn exposedKing
01awh,3r3k/pQ2b1pp/8/8/2p2q1n/2B2p2/PP3P1P/1K4NN w - - 0 27,b7e7 d8d1 b1c2 f4c1,1168,fork
02T47,r3k1nr/pp1qppbp/2p3p1/4B3/3P4/2N2Q2/PPP3PP/R3R1K1 b kq - 4 14,g8f6 e5f6 g7f6 f3f6,1168,pin
048Un,6k1/6p1/8/Q7/P4PK1/6P1/8/3q4 w - - 5 44,g4f5 d1h5 f5e4 h5a5,1168,skewer
07eS5,6k1/5pp1/7p/2P5/4P3/2R2P2/3r3r/2R2K2 w - - 1 43,c5c6 h2h1,1168,rookEndgame
0EwOK,8/5rk1/2p1pqp1/p2pR3/P2P4/2P1Q3/1P6/6K1 w - - 2 41,e5e6 f6f1 g1h2 f7f2 e3f2 f1f2,1168,exposedKing
074BS,3r1r1k/1b2npR1/p3pq2/1p1p2Rp/4P3/8/PPPQB2P/7K b - - 3 27,e7g6 g5h5 h8g7 d2h6 g7g8 h6h7,1169,exposedKing
07GKW,8/4R3/k4p2/P3rP1P/K7/4p3/8/8 w - - 2 57,e7e6 e5e6 f5e6 e3e2 h5h6 e2e1q,1169,promotion rookEndgame
02O8w,2r2rk1/5pp1/p5np/b2p4/3P4/Pq1BPN2/1PR2QPP/3R2K1 w - - 6 26,c2c8 b3d1 f2f1 d1f1 g1f1 f8c8,1170,hangingPiece
00Af3,8/8/2B2p1p/P4Pp1/3p1kP1/1b1Pb2P/8/4K3 b - - 0 50,f4g3 a5a6 b3c4 a6a7,1171,advancedPawn
08EON,2r1k2r/1p2bpp1/p1n1p3/3NP1Np/1P1q1P2/P3Q2P/6P1/2R2RK1 b k - 0 20,e6d5 e3d4 c6d4 c1c8 e8d7 c8h8,1171,skewer
09vCl,2r5/4k3/1R6/4p1R1/1p4n1/2p5/P6P/6K1 w - - 0 36,g5g4 c3c2 g4g7 e7f8 g7c7 c8c7,1171,defensiveMove
0Cvn8,r2q1rk1/pp1n2pp/2pbp3/3pNp2/2PPn3/1P2P1P1/PB3P1P/R2QKB1R b KQ - 0 12,d8f6 e5d7 d6b4 e1e2,1171,hangingPiece
0kiWC,2r3k1/1p1qbpp1/1Q3n1p/P2p4/5B2/2P4P/1P3PP1/R2R2K1 w - - 6 27,b6a7 e7c5 a7c5 c8c5,1171,trappedPiece
00sw5,3r2k1/1p3pp1/pq1b3p/3P4/P7/3Q1N2/1r3PPP/R2R2K1 w - - 0 23,a1b1 b6f2 g1h1 f2g2,1172,kingsideAttack mateIn2
01Xg6,B2Qnk1r/p1p2pp1/6q1/2b5/5B2/2P2Np1/PP2P2P/R4R1K w - - 0 19,b2b4 g3g2,1172,advancedPawn mateIn1
022Dh,5r2/p3p1kp/1p4p1/4rp2/2P5/3P1Q1P/R3K1P1/2q2BNR w - - 7 32,e2f2 c1e1,1172,mateIn1
03XSU,2r2bk1/1p3ppp/1P4b1/q2Np3/2B5/1Q2P2P/5PP1/2R3K1 b - - 0 30,a5d2 d5e7 f8e7 c4f7 g6f7 c1c8,1172,discoveredAttack
04x8i,2k2b1r/pppr2p1/5p1p/3n4/2B5/2BP2P1/PPP4P/2K1RR2 b - - 1 19,d5c3 e1e8 d7d8 c4e6 c8b8 e8d8,1172,backRankMate deflection
07jVz,8/1p1r1kpp/pR6/P5b1/1P3p2/2P5/3NK1PP/8 b - - 6 37,d7d2 e2d2 f4f3 d2e1,1172,defensiveMove hangingPiece
0NN19,rnbqk1nr/pp3ppp/3bp3/3pN3/2pP1B2/2N1P3/PPP2PPP/R2QKB1R b KQkq - 3 6,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,1172,trappedPiece
00QZ3,r1bq3r/ppppnkpp/2n5/b5N1/4P3/B1P5/P4PPP/RN1QK2R b KQ - 1 9,f7f8 d1f3 f8e8 f3f7,1173,mateIn2
03o4R,8/P2P4/4R3/3r2p1/r2k3p/4pB1P/8/4K3 b - - 2 55,d5d7 e6e4 d4c5 e4a4,1173,skewer
08y3P,8/1p2kpp1/p5r1/2p1P2p/P1B2K2/2P5/1P1R2P1/8 w - - 0 27,g2g3 g6g4 f4e3 g4c4,1173,skewer
04e1F,5b2/p4k1p/8/2nP4/8/8/P3KP2/2R5 w - - 6 35,e2e3 f8h6 f2f4 h6f4 e3f4 c5d3 f4f5 d3c1,1174,attraction exposedKing
06AH0,4r1k1/pp3p1p/3p2p1/8/3n4/P2RN2q/1P6/1B1Q2K1 b - - 0 33,h3g3 e3g2 d4e2 d1e2 e8e2 d3g3,1174,defensiveMove
07nyx,8/2p4p/p1p3p1/1p4k1/1P1P1p1P/P2K1PP1/8/8 b - - 0 36,g5f5 g3g4 f5e6 d3e4,1174,pawnEndgame
0BDFq,3rkR2/8/p3p2p/1p6/3q4/2N5/P5rP/5R1K b - - 1 28,e8e7 f1f7 e7d6 f8d8 d6e5 d8d4,1174,skewer
0RrFz,r4rk1/ppp2ppp/2nbp3/6B1/6qN/2PP1P2/P1PQ2PP/R4RK1 b - - 0 14,g4h5 g2g4 h5g5 d2g5,1174,trappedPiece
0ntJ4,r1b2rk1/ppp2ppp/2n1p3/7n/1PBP3q/P1Q1PP2/6PP/R1B1K1NR w KQ - 1 11,g2g3 h5g3 h2g3 h4h1,1174,trappedPiece
00aCb,r2q1rk1/pp2bpp1/2p1b2p/3nP3/3PN3/1P1Q3P/P4BP1/1BR2RK1 b - - 4 25,d5f4 e4f6 g7f6 d3h7,1175,kingsideAttack mateIn2
01bkF,8/p1q3k1/6r1/3ppR2/7Q/7P/P5PK/8 w - - 6 54,f5g5 e5e4 h4g3 c7g3,1175,discoveredAttack
0BmAI,r3k1nr/ppp2ppp/2p5/2b1p1q1/3PP3/2P3P1/PP2KP1P/RNBQ3R b kq - 0 8,g5g4 f2f3 g4h3 d4c5,1175,defensiveMove
02vTI,2k3r1/2p2pq1/p3p3/3p4/1PnP1P2/P1N1P3/4QKP1/R4R2 w - - 7 32,f1g1 g7g3 f2f1 c4e3 e2e3 g3e3,1176,deflection
09tJM,3r2k1/p4pp1/7p/7n/7B/P4P2/1PQpq1PP/3R2K1 w - - 4 30,h4d8 e2e1 d1e1 d2e1q,1176,promotion
00Hut,r4rk1/4p1bp/3p2p1/q1pP1P2/4QP2/4B3/1p5P/1BKR3R w - - 0 22,c1c2 a5c3,1177,mateIn1
027Ar,2q2r2/1pp2rpk/p1npbn1p/3Np3/4P2N/P2QP1PP/1PP3BK/3R1R2 b - - 6 18,e6d5 e4d5 e5e4 g2e4,1177,discoveredAttack
02wWR,rn2r3/pbppk1pp/1p6/2b1N3/3p1B2/5N2/PPP2PPP/4RRK1 b - - 13 17,e7d8 e5f7 d8c8 e1e8,1177,deflection
096Vs,8/6k1/7p/1R6/1p1K4/1P6/6r1/8 w - - 2 46,b5b4 g2g4 d4c5 g4b4 c5b4 h6h5 b4c3 h5h4,1177,defensiveMove rookEndgame
0BH32,bq2r3/2b2p1k/pp1ppn2/6r1/P1P1P1np/1PN5/3RN1PP/3RQBBK w - - 0 34,e1h4 g5h5 h4h5 f6h5,1177,defensiveMove
02tEk,1r3rk1/p5pp/1qp5/3Rp3/8/PPQ5/2P2PPP/4R1K1 w - - 1 21,d5e5 b6f2 g1h1 f2f1 e1f1 f8f1,1178,backRankMate
07V9Y,4r1k1/R7/2pp1pK1/1p4p1/8/2P2p2/1P6/8 b - - 1 46,e8e6 a7a8 e6e8 a8e8,1178,rookEndgame
0C8H7,8/5ppp/8/1p1pPK1P/k2P2P1/P7/8/8 w - - 0 33,e5e6 f7e6 f5e6 a4a3 e6d5 b5b4,1178,pawnEndgame
0FaFr,8/1p4N1/3r4/5k1K/2r5/4R3/8/8 b - - 1 51,f5f6 g7e8 f6f5 e8d6 f5f4 d6c4,1178,exposedKing
0fhSc,3r1rk1/pb4pp/1p2pq2/2p1Rp2/3P4/P1P2PB1/3Q2PP/4R1K1 b - - 9 21,f8f7 e5e6 f6e6 e1e6,1178,trappedPiece
01FU2,rnb1r1k1/pp3p1p/3p2pQ/3NB3/2P5/3BPN2/Pq1b2PP/3K3n b - - 1 16,e8e5 d5f6 g8h8 h6h7,1179,kingsideAttack mateIn2
04CtU,rn2k2r/pp1q1ppp/3bbn2/2pp2N1/8/6P1/PPPP1PBP/RNBQR1K1 w kq - 8 9,g2d5 f6d5 g5e6 f7e6,1179,hangingPiece
08Jhb,1r5r/k1p2p2/p2p4/2nQ2p1/7p/R3P3/1qP2PPP/R5KN w - - 4 27,d5f7 b2b1 a1b1 b8b1,1179,backRankMate
099Yk,r1b1k1nr/pp1p1ppp/8/4P3/1b6/1Q6/P1p1PPPP/1N2KB1R w Kkq - 0 13,b3b4 c2c1q,1180,promotion
09hwu,6k1/p7/8/2p2KP1/8/P7/8/8 b - - 1 54,c5c4 f5e4 g8f7 e4d4 c4c3 d4c3,1180,pawnEndgame
0DMdx,r1b1k2r/ppp2p2/3p4/2b1p3/2BnP1Pp/2NPqP2/PPP1Q2B/R3K2R w KQkq - 3 16,c4f7 e8f7 e2e3 d4c2 e1d2 c2e3,1180,exposedKing
00WDP,1r2kb1r/p4ppp/Q1n5/2qpP1Bb/8/5N1P/P2N1PP1/R4RK1 b k - 2 16,b8b6 a6c8 c6d8 c8d8,1181,mateIn2
01a8M,8/p2R1pkp/1p1R4/8/4PP1K/2r3rP/P7/8 w - - 13 34,d7a7 g3h3 h4g5 c3g3 g5f5 h3h5,1181,rookEndgame
08wAr,8/2k5/R7/4PK2/5P2/pr6/8/8 w - - 1 57,f5f6 b3b6 a6b6 c7b6 f6f7 a3a2 e5e6 a2a1q,1181,promotion rookEndgame
0UkMz,3r1rk1/pp3ppp/2bbp3/8/4PP2/P1NBR3/1PQ3Pq/3R1K2 b - - 0 19,d6f4 e3h3 h2h3 g2h3,1181,trappedPiece
0ge7X,r6r/p1p1qpk1/1p1p4/3P1pPn/2P2P1R/4PP2/PP3K1Q/2R5 w - - 0 31,h4h5 h8h5 h2h5 a8h8 h5h8 g7h8,1181,trappedPiece
01Pkt,8/p6p/6p1/1P2p3/Pk6/4KP2/6PP/8 w - - 4 34,e3e4 b4a4 e4e5 a4b5 f3f4 a7a5,1182,defensiveMove pawnEndgame
03I6Q,2r2rk1/1p3ppp/pqn1b3/2bpPp2/3N1P2/2P1BN2/P5PP/1R1Q1R1K b - - 8 17,b6c7 d4e6 f7e6 e3c5,1182,discoveredAttack
0Ahbz,2kr3r/pp1n1pp1/2pb1n1p/3p1NB1/3P4/5N2/PPP2PPP/2KR3R b - - 1 14,h6g5 f5d6 c8c7 d6f7,1182,hangingPiece
00Ta0,4k3/1R6/6p1/4Np1p/7P/2r3PK/5b2/8 w - - 11 47,e5g6 c3g3 h3h2 g3g6,1183,fork
01Lo7,r2qb2r/6k1/p2p1p2/1ppN1Pp1/4P1Q1/2PP3P/P5P1/3R1RK1 w - - 6 29,g2g3 e8h5 g4h5 h8h5,1183,trappedPiece
046Rc,r4rk1/ppp2ppp/3p4/3q4/1P1b1P1n/3BB1RP/P4P1K/R2Q4 b - - 1 21,d4a1 d3h7 g8h7 d1d5,1183,discoveredAttack
046t6,r1b2rk1/pppp1pp1/1bn4p/7n/2B1P2q/P1NP4/1PPBN1PP/R2Q1R1K w - - 5 13,e2f4 h5g3,1183,pin
04XVt,Rr3r1k/1P5p/1p6/1PbB4/2Pq4/4pPP1/Q3R2P/6K1 w - - 3 31,a2b2 d4b2 e2b2 e3e2 g1g2 e2e1q,1183,advancedPawn discoveredAttack promotion
0oxex,r1bqk1nr/2ppb1pp/p1n2p2/1p2p2Q/B3P2N/8/PPPP1PPP/RNB2RK1 b kq - 1 7,g7g6 h4g6 h7g6 h5h8,1183,trappedPiece
013hi,2k5/bpp2B2/p1np4/4pR2/PP2P1q1/1NPP2P1/5RK1/8 b - - 6 30,a7f2 f7e6 c8d8 f5f8 d8e7 e6g4,1184,discoveredAttack fork
01pet,8/8/2Pk2pp/1b6/1N1K4/7P/6P1/8 b - - 3 42,b5c6 b4c6 d6c6 d4e5,1184,defensiveMove
03fNg,8/2p1rpk1/2pp2p1/p6p/2PP2bP/1PN3P1/P4P2/R4K2 w - - 0 26,a1e1 g4h3 f1g1 e7e1,1184,deflection
04knM,5nr1/1p3k1p/pr2pp2/3p1P2/3P3P/2P2N1K/1P2R3/4R3 b - - 4 31,e6f5 e2e7 f7g6 e1g1 g6h6 g1g8,1184,skewer
05P4e,8/8/4p3/pp2k1p1/6P1/PP2KP2/8/8 b - - 0 42,e5d5 f3f4 g5f4 e3f4,1184,pawnEndgame
08V6a,1r4k1/p5p1/2p1R2p/2PpQ3/2nP4/B3PP1P/P5PK/4q3 w - - 9 34,e6e8 b8e8 e5e8 g8h7 a3c1 e1c1,1184,trappedPiece
00Tya,r4rk1/6pp/1p1Bp3/p7/P1PP4/4nqP1/2QR3P/4R1K1 w - - 1 25,c2a2 f3f1 e1f1 f8f1,1185,kingsideAttack mateIn2
03VQT,6r1/1pp3k1/3p4/p2Pp1pP/2P1n1P1/P7/1P4K1/5R2 b - - 0 36,g8f8 h5h6 g7h6 f1f8,1185,deflection
00Uo9,4Q3/5ppk/2p2b1p/1pq1pP2/2r1B3/5P1P/6P1/5R1K b - - 3 33,c5e7 e8e7 f6e7 f5f6 c4e4 f6e7,1186,advancedPawn discoveredAttack
01uSL,q7/5pkp/1n2pnp1/2p1p3/1p6/1P1PNN1P/2PQ1PP1/6K1 w - - 0 24,f3e5 a8a1 e3f1 a1e5,1186,fork
023eI,7k/p6p/1p6/2b5/1P1pBPq1/3Q4/P6P/7K b - - 2 30,c5d6 d3d4 g4g7 d4d6 g7a1 h1g2,1186,defensiveMove fork
0240A,3b4/3P1k2/2pB4/1p1b2p1/2pK2B1/2P5/P4P2/8 w - - 2 47,d4e5 d8f6 e5f5 d5e6 f5e4 e6g4,1186,deflection
02GOf,8/8/5kp1/1p3p2/p1p2P1p/P1P1KP1P/1P6/8 b - - 4 46,g6g5 f4g5 f6g5 f3f4 g5g6 e3d4,1186,attraction pawnEndgame
04jax,8/4k3/1p4K1/2p1pr2/2P3p1/pP4P1/P2R3P/8 b - - 1 54,e7e6 d2d6 e6d6 g6f5 e5e4 f5e4,1186,deflection rookEndgame
075iw,5r1k/p5pp/2p1Q3/1pq1p3/4P3/8/B4PPP/5RK1 w - - 0 32,f1d1 c5f2 g1h1 f2f1 d1f1 f8f1,1186,backRankMate
07YH3,7k/p4p1p/4rp2/4q3/2Q5/1P6/P4PPP/3R1K2 w - - 5 28,c4d4 e5e2 f1g1 e2e1 d1e1 e6e1,1186,backRankMate
0CmIV,2r2rk1/pp3ppp/1q2p3/3p4/3P1b2/2BB1P2/PP5P/3RQRK1 w - - 0 17,d3h7 g8h7 e1h4 f4h6,1186,hangingPiece
01TEE,2r1r1k1/pp2bppp/1q3n2/4B3/4N3/1P3Q2/P5PP/3R1R1K b - - 4 18,f6e4 f3f7 g8h8 f7g7,1187,kingsideAttack mateIn2
02FdM,3rr1k1/5ppp/8/R7/2QP4/P1P2qPP/1P3P2/3R2K1 w - - 1 28,c4d3 e8e1 d1e1 f3d3,1187,deflection
043BF,k2r4/1p5p/p1n2Q2/8/5B2/6P1/qPP4P/2K1R3 w - - 0 31,c2c3 a2a1 c1c2 a1e1 f6d8 c6d8,1187,skewer
