PuzzleId,FEN,Moves,Rating,Themes
00CFp,rn1q3k/pp4pp/1b2B3/4N3/5r2/2p5/PP4PP/RN3Q1K w - - 0 16,f1f4 d8d1 f4f1 d1f1,477,kingsideAttack mateIn2
08wWv,2k5/ppp2ppp/1r6/8/2P3q1/N3Q1Pb/PP3P1P/R5K1 b - - 0 20,b6b2 e3e8,478,mateIn1
0LY3P,r4rk1/pp2pp1p/3p2p1/1B4N1/4P3/7Q/5P2/bq3NK1 b - - 3 24,b1b5 h3h7,478,mateIn1
1I20Z,2r3k1/qB3ppp/4p3/8/8/6P1/P2Q1P1P/3R2K1 b - - 0 27,a7b7 d2d8 c8d8 d1d8,479,backRankMate
1SEgI,1k6/2p4r/8/2P5/1p1p4/p7/PPP5/1K2R3 w - - 0 46,e1e4 h7h1 e4e1 h1e1,479,rookEndgame
08CSo,6k1/p7/1pp1r3/6P1/2n1BP2/2P5/P1P4R/2K5 w - - 5 31,e4d3 e6e1,480,mateIn1
17SqN,2r2k1r/pR2ppbp/2B3p1/8/8/4BNP1/P4P1P/6K1 b - - 0 25,c8c6 b7b8 c6c8 b8c8,480,backRankMate
A7PrR,1r2B2k/2p2rpp/3p2q1/8/QP2n3/5pPP/Pb3P2/2B2RK1 b - - 1 28,b8e8 a4e8 f7f8 e8f8,481,hangingPiece
06Ql3,4r1k1/5pbp/2r2NpB/p5P1/Pp1p3P/2p2K2/2P5/3RR3 b - - 5 35,g7f6 e1e8,482,mateIn1
0nqQk,6k1/R3R1p1/5p1p/8/1n6/8/PP3PrP/1K6 w - - 0 28,a2a3 g2g1 e7e1 g1e1,484,mateIn2
0OidU,5k2/1r3pbp/p2N4/PbpN1p2/1p6/1P4P1/1PK4P/4R3 b - - 9 44,b7d7 e1e8,485,mateIn1
0OELt,k1r5/p4p2/q6p/4B3/1R4P1/4P3/5P2/1R4K1 b - - 0 35,a6e6 b4b8 c8b8 b1b8,487,mateIn2
0zq7G,4r2k/1p4pp/p7/2p3Q1/P3nP2/1P2R3/1P4PP/6K1 b - - 0 27,e4g5 e3e8,487,backRankMate
4RP9y,2k5/2prrp2/1R2p1pp/p7/P2PP3/4K3/7P/2R5 b - - 0 35,c8d8 b6b8,487,rookEndgame
6r9T4,8/8/5kP1/K4P2/7N/1p6/8/8 w - - 0 59,a5a4 b3b2 a4b3 b2b1q,487,advancedPawn promotion
0My1q,2r2k2/6p1/2p2p1p/b3p3/4Q3/1qPP4/1P3PPP/R5K1 w - - 0 27,a1a5 b3d1 e4e1 d1e1,489,mateIn2
7q9uc,8/8/8/4K3/p3P3/1k2N3/8/8 w - - 2 56,e5d6 a4a3 e4e5 a3a2,489,advancedPawn
CQKR9,8/6K1/6P1/5P1k/8/8/b7/8 b - - 4 53,h5g5 f5f6 a2b1 f6f7 b1g6 f7f8q,489,promotion
09p8L,8/R7/5p2/P5p1/4r3/4r1k1/6P1/3R2K1 w - - 16 42,a7f7 e3e1 d1e1 e4e1,491,mateIn2 rookEndgame
1LFlv,4r1k1/pp3ppp/8/4p3/8/2q5/Pr3PPP/1R2Q1K1 w - - 0 25,e1c3 b2b1 c3c1 b1c1,491,backRankMate hangingPiece
9DFJ3,2b3k1/p1r1Nppp/8/1PR5/P2NnPP1/3pr2P/8/3R2K1 b - - 2 28,c7e7 c5c8 e7e8 c8e8,491,hangingPiece
0857U,r2qk2r/ppp2p2/3p3p/4p3/1bB1P1n1/2NP1QBb/PPP2P2/R3R1K1 b kq - 1 14,b4c5 f3f7,492,mateIn1
4PVuK,8/pkp3R1/8/6P1/8/4p3/PPP2r2/2K5 w - - 0 28,g7e7 f2f1,492,rookEndgame
0b6N0,3q2k1/rr4p1/2p1p2p/p1ppBp1b/P4P2/1P1PP1QP/2P2RP1/R5K1 b - - 2 22,h5f7 g3g7,493,kingsideAttack
0vE3P,6k1/6pp/r1p5/2P1N3/3P1p2/2R2PbP/6P1/6K1 w - - 0 47,c3b3 a6a1 b3b1 a1b1,494,mateIn2
NqR4f,8/7p/8/1PK1k1p1/8/8/8/8 b - - 0 54,g5g4 b5b6 e5e4 b6b7 g4g3 b7b8q,495,pawnEndgame
4F2JS,3R4/4P1kp/p5p1/1p1P4/5Pn1/P6b/1P5P/2rB2K1 w - - 3 37,e7e8q c1d1 e8e1 d1e1,497,hangingPiece
NeurC,8/8/4K3/1k2P3/5p2/8/8/8 w - - 0 62,e6f6 f4f3 e5e6 f3f2 e6e7 f2f1q,499,pawnEndgame
2mSWg,6k1/6P1/3p1PK1/3P4/1p4B1/8/7r/8 b - - 3 53,h2g2 f6f7,500,advancedPawn
4oxu9,2r4k/p5pp/8/1p6/3N4/PPR3PP/1KP5/4q3 b - - 2 40,e1f2 c3c8 f2f8 c8f8,500,hangingPiece
c3krl,4r2k/1bp2Q1p/3p2p1/p7/2N5/1P6/P5qP/6RK w - - 0 29,g1g2 e8e1 f7f1 e1f1,501,pin
0WL2F,5r2/ppb2rk1/2n3pp/P7/3pp3/1Q5P/1PPB2P1/R3Rq1K w - - 4 32,e1f1 f7f1 a1f1 f8f1,502,kingsideAttack mateIn2
2hNDo,5rk1/pb3ppp/1p2pn2/8/3N3Q/r3P3/1q3PPP/RR4K1 w - - 0 22,b1b2 a3a1 b2b1 a1b1,502,hangingPiece
9uX5g,3B4/8/k2b4/3K4/P7/6p1/8/8 w - - 0 55,d5d6 g3g2 a4a5 g2g1q,502,advancedPawn promotion
0PRMD,3r1rk1/pp2bppp/4p3/4P3/4q3/2P1pN2/PP4QP/R1K3R1 b - - 5 22,e3e2 g2g7,503,kingsideAttack
7u9Nq,1Q6/p2knp1p/2r1p3/3pq3/8/8/PP3PPP/2R3K1 w - - 0 29,b8e5 c6c1 e5e1 c1e1,504,hangingPiece
0FiCr,7k/pp3p1p/2q2QnB/2pr4/P4P2/6P1/1PP4P/4R1K1 b - - 0 25,c6f6 e1e8 g6f8 e8f8,505,mateIn2
0yX1Z,2R2b1r/1Q1nkpp1/3ppn2/4q1p1/4P3/P3B3/1P3PPP/5RK1 w - - 1 21,e3b6 e5h2,505,kingsideAttack
2zAjb,3rr1k1/1R4p1/p6p/8/1P6/P4pP1/5P1P/2Rq2K1 w - - 1 29,c1d1 d8d1,506,rookEndgame
0DUcv,r3k2r/4npp1/p2q2p1/1p1p4/4p3/2P2N2/PP2QPPP/R1B2RK1 w kq - 0 18,f3d4 d6h2,507,kingsideAttack mateIn1
0tcBo,5rk1/pp3rp1/2p5/4P3/4p1Q1/4b3/PPP3PP/R4RK1 w - - 0 23,g1h1 f7f1 a1f1 f8f1,507,backRankMate mateIn2
4EUxq,8/8/8/p7/P7/6k1/4p2p/4Rr1K w - - 1 52,e1f1 e2f1q,507,advancedPawn promotion
08igm,r5k1/1b2rppp/1p3n2/1B1qp3/3p4/P6P/NPP1QPP1/3R1RK1 w - - 2 18,c2c4 d5g2,508,kingsideAttack mateIn1
09LTe,1r3k2/r4pbp/2pNp1p1/q2nP3/8/P4Q2/1B3PPP/R3R1K1 w - - 4 25,b2c1 a5e1,508,kingsideAttack mateIn1
3Ckij,8/3R1pk1/7p/p7/1p4n1/1P6/P1K5/8 w - - 0 51,d7d5 g4e3 c2d3 e3d5,508,fork
Hdf9F,8/1K6/8/P1p5/2k5/8/8/8 b - - 0 51,c4b5 a5a6 c5c4 a6a7 c4c3 a7a8q,510,pawnEndgame
0bS3x,4r2k/pp4pp/2bq4/4r3/1P1p1Q2/8/P1P1N1PP/R4R1K b - - 2 22,d6g6 f4f8 e8f8 f1f8,512,backRankMate mateIn2
4BL4G,r1q1bnk1/4R1p1/p5rp/1p1pBp1Q/3PpN2/P7/1P3PPP/2R3K1 w - - 2 31,f4g6 c8c1 h5d1 c1d1,512,hangingPiece
ubXiZ,r1b2rk1/ppp2Npp/5n2/8/8/P7/BPP2PPP/3RK2R b K - 0 14,f8f7 d1d8 f6e8 d8e8,512,pin
5q5BO,B2qkb1r/p3nppp/8/2p5/4Q3/6Pb/PP3P1P/RNB2K2 w k - 1 14,f1g1 d8d1 e4e1 d1e1,513,fork
3UtVR,8/8/8/p7/1k4KP/8/8/8 w - - 0 58,g4f3 a5a4 h4h5 a4a3 h5h6 a3a2 h6h7 a2a1q,514,advancedPawn pawnEndgame promotion
Ckeqm,8/8/8/2K1P3/3p4/3k4/8/8 b - - 0 48,d3e3 e5e6 d4d3 e6e7 d3d2 e7e8q,514,pawnEndgame promotion
qJIOk,5k2/7K/6P1/5n2/7P/8/8/8 b - - 8 62,f5h4 g6g7 f8e7 g7g8q,514,deflection
2GN0V,8/8/7p/7P/1pk2PP1/5K2/n7/2N5 w - - 3 61,c1a2 b4b3 a2c1 b3b2,515,advancedPawn
EuVs3,6k1/1p6/8/2P2KP1/p2P4/8/8/8 w - - 0 67,f5e4 a4a3 d4d5 a3a2,515,pawnEndgame
G2E2l,8/2k5/1pp2p1p/pP1p1Pp1/P1PP2P1/1K4P1/8/8 b - - 0 51,d5c4 b3c4 c6b5 c4b5,516,pawnEndgame
LwtKx,4r1k1/1p3pp1/p3b1p1/3p4/3N4/2P3P1/PP3P1P/4R1K1 w - - 0 21,g1f1 e6h3 f1g1 e8e1,517,deflection
0LVez,8/1p4pk/1p1p3p/4p2q/2P1P3/5bPn/PP5P/R4Q1K w - - 1 26,f1f3 h5f3,518,mateIn1
4gxRB,4r3/pp3p1p/2k3p1/3pr3/8/2P5/PP1R1PPP/3R2K1 w - - 6 21,b2b3 e5e1 d1e1 e8e1,518,rookEndgame
K3muX,3r4/pp2kpp1/3n2p1/8/3R1P2/1P4P1/P4KBP/8 w - - 3 33,d4d2 d6e4 g2e4 d8d2,518,discoveredAttack
106nv,4r1k1/pp2qp1p/2pb1p2/3p1Q2/3P4/1PP2N1P/P4PP1/R5K1 w - - 9 22,a1e1 e7e1 f3e1 e8e1,519,kingsideAttack
5hEs4,3r4/p3bk2/1p4p1/8/1P2q2p/8/P4PPP/B3R1K1 w - - 0 33,e1e4 d8d1 e4e1 d1e1,519,fork
0ss3I,r2qr1kb/pp1bpp1p/3p2pB/3Q3n/2B1P3/2N5/PPP2PP1/R4RK1 b - - 1 14,d7c6 d5f7,520,kingsideAttack
1Wb7S,8/8/2p5/4p1pk/r3P3/p4K2/R7/8 b - - 3 62,h5h4 a2h2,520,rookEndgame
1sqOQ,5k2/5p1p/2P2Kp1/7r/1PR5/8/5P2/8 w - - 1 38,c6c7 h5f5,521,rookEndgame
23LqA,8/8/R1R5/5p2/5P2/5kP1/1r6/6K1 w - - 3 61,g1f1 b2b1 c6c1 b1c1,521,rookEndgame
8rF2g,8/7K/3k2p1/p5P1/4p2P/P7/8/8 w - - 0 56,h7g6 e4e3 h4h5 e3e2 h5h6 e2e1q,521,advancedPawn pawnEndgame promotion
0Fje7,2q2bk1/5p2/6pQ/8/4p3/pP2P3/r5PP/2R4K w - - 0 37,c1c8 a2a1 c8c1 a1c1,522,backRankMate mateIn2
0opJy,8/8/2K5/1P3p2/2k1p1p1/6P1/6P1/8 b - - 0 58,c4b4 b5b6 e4e3 b6b7 e3e2 b7b8q,522,advancedPawn pawnEndgame promotion
20E67,7k/5p1p/ppp5/4P3/P1n2P1P/6P1/2B4K/8 w - - 0 37,h2g2 c4e3 g2f3 e3c2,522,fork
hiFEx,2K4k/3R2p1/2P5/8/5q1P/8/8/8 b - - 7 86,f4f8 d7d8 f8d8 c8d8,522,defensiveMove pin
0byVn,1r5k/R5p1/7p/8/4B2K/7P/p5P1/r7 b - - 1 37,b8b2 a7a8 b2b8 a8b8,523,mateIn2
8WMQG,4R3/pkp2ppp/1pn2q2/3Q1p2/2P2B2/3P4/P1P2PPP/R5K1 w - - 1 20,c4c5 f6a1 f4c1 a1c1 e8e1 c1e1,523,hangingPiece
BAxaO,r1br2k1/pp3ppp/2n1p3/8/8/P2BPP2/1P3KPP/3R2NR b - - 4 15,c6e5 d3h7 g8h7 d1d8,523,discoveredAttack
22PsY,5k2/8/1r2BKP1/8/5P2/8/1p6/8 b - - 0 61,b2b1q g6g7 f8e8 g7g8q,524,advancedPawn deflection promotion
8FqNF,4r2k/ppp4p/2P3pP/5q2/3B3b/2N5/PP1r1PBN/4R1K1 b - - 1 27,d2d4 e1e8 f5f8 e8f8,524,hangingPiece
8u6ob,8/6kp/3p2p1/3q4/p6Q/5P2/P1P3PP/4R2K w - - 2 33,e1d1 d5d1 h4e1 d1e1,524,hangingPiece
0BdQV,2kr3r/ppp1np2/3qp3/P2p2p1/1P1P2np/2PQP3/3NNPPP/R4RK1 w - - 2 17,h2h3 d6h2,526,mateIn1
01lVf,2r3k1/p4p2/1p4pp/3p4/3Bq3/P6P/5QP1/5RK1 b - - 1 36,c8c2 f2f7,527,mateIn1
0khdh,5rk1/p4rpp/Q1R5/3p4/3Pp3/4P1Pb/PP1N3P/2RN1qK1 w - - 3 24,d2f1 f7f1 a6f1 f8f1,527,kingsideAttack mateIn2
CGVfM,8/ppp2pkp/1b2q3/4Np2/3P2b1/1PPQ4/1P4PP/4R2K w - - 2 23,e5g4 e6e1 d3f1 e1f1,527,hangingPiece
Omexz,8/8/8/P7/1K5p/7k/8/8 b - - 0 58,h3g3 a5a6 g3f2 a6a7 h4h3 a7a8q,527,pawnEndgame
2848Q,8/8/8/3k2KP/4p3/8/8/8 b - - 0 44,d5d4 h5h6 e4e3 h6h7 e3e2 h7h8q,528,advancedPawn pawnEndgame promotion
40mS4,1k2r3/1p6/4p3/p3P2p/P7/5q2/1P1p2Q1/6RK b - - 3 45,e8g8 g2f3 g8g1 h1g1,529,hangingPiece
1Cwwp,5k2/3KP3/5Pp1/3p2Pp/p1p4P/r7/8/8 b - - 0 46,f8f7 e7e8q,530,advancedPawn promotion
1Rpa2,r1r3k1/5ppp/3R4/Q7/pp5P/4P1P1/5P2/3R2K1 b - - 0 30,a8a5 d6d8 c8d8 d1d8,530,rookEndgame
Bhw5c,4r2k/pp4pp/2pqr3/5p1Q/8/6PR/PP3P1K/8 b - - 0 31,e6h6 h5e8 d6f8 e8f8,531,hangingPiece
0ZsVl,8/5rk1/6p1/7p/3R1K1P/4P1P1/5P2/8 w - - 2 53,f4g5 f7f5,532,rookEndgame
0a73M,7k/1p4pp/pb3p2/3p4/5P2/P2r1q2/1P1B4/1KQ5 b - - 9 44,f3e4 c1c8 b6d8 c8d8 e4e8 d8e8,532,backRankMate
CvMKj,2r3k1/p4ppp/1p6/3p4/3Pr2P/P1q1P2Q/4K3/R1B5 b - - 1 22,c3a1 h3c8 e4e8 c8e8,532,hangingPiece
